Movie Name,Country,Date,Opening,Gross
Birds of Prey,Australia,6-Feb-20,"$2,580,000 ","$7,537,396 "
Birds of Prey,Hong Kong,6-Feb-20,Unknown,"$1,700,000 "
Birds of Prey,India,7-Feb-20,"$418,637 ","$818,000 "
Birds of Prey,Indonesia,5-Feb-20,"$2,400,000 ","$3,700,000 "
Birds of Prey,Japan,20-Mar-20,"$1,109,258 ","$4,508,578 "
Birds of Prey,New Zealand,6-Feb-20,"$299,885 ","$901,086 "
Birds of Prey,Russia/CIS,6-Feb-20,"$3,747,278 ","$6,135,978 "
Birds of Prey,South Korea,5-Feb-20,"$2,000,000 ","$3,000,000 "
Birds of Prey,Taiwan,7-Feb-20,"$1,560,000 ","$3,700,000 "
Birds of Prey,Vietnam,6-Feb-20,"$521,314 ","$1,229,778 "
Wonder Woman 1984,Domestic,25-Dec-20,"$16,701,957 ","$46,534,027 "
Wonder Woman 1984,Bulgaria,5-Feb-21,"$14,057 ","$62,396 "
Wonder Woman 1984,Croatia,24-Dec-20,"$43,001 ","$209,962 "
Wonder Woman 1984,Germany,17-Jun-21,"$23,338 ","$71,659 "
Wonder Woman 1984,Iceland,18-Dec-20,"$35,438 ","$182,453 "
Wonder Woman 1984,Italy,13-May-21,"$18,002 ","$38,160 "
Wonder Woman 1984,Lithuania,30-Apr-21,"$2,967 ","$6,312 "
Wonder Woman 1984,Netherlands,10-Jun-21,"$3,692 ","$7,678 "
Wonder Woman 1984,Portugal,16-Dec-20,"$104,614 ","$433,784 "
Wonder Woman 1984,Saudi Arabia,17-Dec-20,Unknown,"$3,400,000 "
Wonder Woman 1984,Serbia and Montenegro,24-Dec-20,Unknown,"$129,124 "
Wonder Woman 1984,Slovakia,17-Dec-20,"$30,514 ","$38,469 "
Wonder Woman 1984,South Africa,18-Dec-20,Unknown,"$739,214 "
Wonder Woman 1984,Spain,18-Dec-20,"$1,103,212 ","$4,400,000 "
Wonder Woman 1984,Ukraine,17-Dec-20,"$408,254 ","$1,104,397 "
Wonder Woman 1984,United Arab Emirates,17-Dec-20,Unknown,"$3,171,866 "
Wonder Woman 1984,United Kingdom,18-Dec-20,"$1,145,069 ","$2,235,243 "
Wonder Woman 1984,Brazil,17-Dec-20,"$1,660,175 ","$6,900,000 "
Wonder Woman 1984,Colombia,25-Dec-20,"$341,483 ","$1,322,486 "
Wonder Woman 1984,Mexico,16-Dec-20,"$1,383,625 ","$4,959,500 "
Wonder Woman 1984,Australia,26-Dec-20,"$3,989,697 ","$19,204,042 "
Wonder Woman 1984,Hong Kong,18-Feb-21,"$510,833 ","$1,100,719 "
Wonder Woman 1984,India,24-Dec-20,Unknown,Unknown
Wonder Woman 1984,Japan,18-Dec-20,"$1,106,761 ","$5,300,000 "
Wonder Woman 1984,New Zealand,26-Dec-20,"$632,723 ","$2,840,249 "
Wonder Woman 1984,Russia/CIS,7-Jan-21,"$573,532 ","$3,921,888 "
Wonder Woman 1984,Singapore,17-Dec-20,Unknown,"$3,900,000 "
Wonder Woman 1984,South Korea,23-Dec-20,"$1,794,974 ","$4,398,287 "
Wonder Woman 1984,Taiwan,17-Dec-20,"$3,500,000 ","$8,900,000 "
Wonder Woman 1984,Thailand,17-Dec-20,"$2,000,000 ","$3,200,000 "
Wonder Woman 1984,Vietnam,18-Dec-20,"$755,784 ","$1,983,902 "
Wonder Woman 1984,China,18-Dec-20,"$18,700,000 ","$25,000,000 "
