universe_code,universe_name,movie_code,movie_name,country_code,country_name,release_date,opening,gross
1000,MCU,2,The Incredible Hulk,1005,Middle East Other,19-Jun-08,N/A,1394480
1000,MCU,2,The Incredible Hulk,31,Netherlands,19-Jun-08,390858,1338756
1000,MCU,2,The Incredible Hulk,234,Nigeria,20-Jun-08,15768,27915
1000,MCU,2,The Incredible Hulk,47,Norway,13-Jun-08,380512,1532085
1000,MCU,2,The Incredible Hulk,48,Poland,13-Jun-08,160520,484495
1000,MCU,2,The Incredible Hulk,351,Portugal,12-Jun-08,169609,712895
1000,MCU,2,The Incredible Hulk,40,Romania,13-Jun-08,N/A,145857
1000,MCU,2,The Incredible Hulk,1008,Serbia and Montenegro,12-Jun-08,8001,52750
1000,MCU,2,The Incredible Hulk,421,Slovakia,17-Jul-08,16918,31530
1000,MCU,2,The Incredible Hulk,386,Slovenia,12-Jun-08,15855,60156
1000,MCU,2,The Incredible Hulk,27,South Africa,13-Jun-08,233777,924788
1000,MCU,2,The Incredible Hulk,1009,South Africa/Nigeria,13-Jun-08,N/A,926846
1000,MCU,2,The Incredible Hulk,34,Spain,20-Jun-08,2214674,7693842
1000,MCU,2,The Incredible Hulk,46,Sweden,13-Jun-08,287435,1075183
1000,MCU,2,The Incredible Hulk,41,Switzerland,18-Jun-08,7556,582510
1000,MCU,2,The Incredible Hulk,90,Turkey,13-Jun-08,397477,1024772
1000,MCU,2,The Incredible Hulk,380,Ukraine,11-Jun-08,230730,593282
1000,MCU,2,The Incredible Hulk,971,United Arab Emirates,19-Jun-08,848661,1814406
1000,MCU,2,The Incredible Hulk,44,United Kingdom,13-Jun-08,6333915,15163328
1000,MCU,2,The Incredible Hulk,54,Argentina,19-Jun-08,422838,935727
1000,MCU,2,The Incredible Hulk,591,Bolivia,12-Jun-08,22719,67950
1000,MCU,2,The Incredible Hulk,55,Brazil,13-Jun-08,1743519,4893267
1000,MCU,2,The Incredible Hulk,N/A,Central America+,13-Jun-08,N/A,1229654
