title,year,genre,runtime,mpa_rating,imdb_rating,imdb_gross,director,tomato_meter,tom_aud_score,entity,universe_code,id,star_1,star_2,star_3,star_4
X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi",104,PG-13,6.7,234360000,Brett Ratner,57,61,MARVEL,,15,Brett Ratner,Patrick Stewart,Hugh Jackman,Halle Berry
Fantastic Four: Rise of the Silver Surfer,2007,"Action, Adventure, Fantasy",92,PG,5.6,131920000,Tim Story,37,51,MARVEL,,18,Tim Story,Ioan Gruffudd,Jessica Alba,Chris Evans
Ghost Rider,2007,"Action, Fantasy, Thriller",110,PG-13,5.3,115800000,Mark Steven Johnson,26,48,MARVEL,,16,Mark Steven Johnson,Nicolas Cage,Eva Mendes,Sam Elliott
Spider-Man 3,2007,"Action, Adventure, Sci-Fi",139,PG-13,6.2,336530000,Sam Raimi,63,51,MARVEL,,17,Sam Raimi,Tobey Maguire,Kirsten Dunst,Topher Grace
Iron Man,2008,"Action, Adventure, Sci-Fi",126,PG-13,7.9,318410000,Jon Favreau,94,91,MARVEL,1000.0,19,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard
Punisher: War Zone,2008,"Action, Crime, Drama",103,R,5.9,7950000,Lexi Alexander,29,42,MARVEL,,21,Lexi Alexander,Ray Stevenson,Dominic West,Julie Benz
The Incredible Hulk,2008,"Action, Adventure, Sci-Fi",112,PG-13,6.7,134520000,Louis Leterrier,67,70,MARVEL,1000.0,20,Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth
X-Men Origins: Wolverine,2009,"Action, Sci-Fi",107,PG-13,6.6,179880000,Gavin Hood,37,58,MARVEL,3000.0,22,Gavin Hood,Hugh Jackman,Liev Schreiber,Ryan Reynolds
Iron Man 2,2010,"Action, Adventure, Sci-Fi",124,PG-13,7.0,312430000,Jon Favreau,72,71,MARVEL,1000.0,23,Jon Favreau,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow
Captain America: The First Avenger,2011,"Action, Adventure, Sci-Fi",124,PG-13,6.9,176650000,Joe Johnston,80,74,MARVEL,1000.0,26,Joe Johnston,Chris Evans,Hugo Weaving,Samuel L. Jackson
Ghost Rider: Spirit of Vengeance,2011,"Action, Fantasy, Thriller",96,PG-13,4.3,51770000,Mark Neveldine,18,31,MARVEL,,27,Brian Taylor,Nicolas Cage,Ciarán Hinds,Idris Elba
Thor,2011,"Action, Adventure, Fantasy",115,PG-13,7.0,181030000,Kenneth Branagh,77,76,MARVEL,1000.0,24,Kenneth Branagh,Chris Hemsworth,Anthony Hopkins,Natalie Portman
X: First Class,2011,"Action, Adventure, Sci-Fi",131,PG-13,7.7,146410000,Matthew Vaughn,86,87,MARVEL,3000.0,25,Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence
The Amazing Spider-Man,2012,"Action, Adventure, Fantasy",136,PG-13,6.9,262030000,Marc Webb,72,77,MARVEL,,29,Marc Webb,Andrew Garfield,Emma Stone,Rhys Ifans
The Avengers,2012,"Action, Adventure, Sci-Fi",143,PG-13,8.0,623280000,Joss Whedon,91,91,MARVEL,1000.0,28,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson
Iron Man Three,2013,"Action, Adventure, Sci-Fi",130,PG-13,7.1,409010000,Shane Black,79,78,MARVEL,1000.0,30,Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow
The Wolverine,2013,"Action, Sci-Fi",126,PG-13,6.7,132560000,James Mangold,71,69,MARVEL,3000.0,31,James Mangold,Hugh Jackman,Will Yun Lee,Tao Okamoto
Thor: The Dark World,2013,"Action, Adventure, Fantasy",112,PG-13,6.9,206360000,Alan Taylor,66,75,MARVEL,1000.0,32,Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston
Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi",136,PG-13,7.7,259770000,Anthony Russo,90,92,MARVEL,1000.0,33,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson
Guardians of the Galaxy,2014,"Action, Adventure, Comedy",121,PG-13,8.0,333180000,James Gunn,92,92,MARVEL,1000.0,36,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper
The Amazing Spider-Man 2,2014,"Action, Adventure, Fantasy",142,PG-13,6.6,202850000,Marc Webb,51,64,MARVEL,,34,Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx
